Номер узла;Номер кластера;transactionAmount|Сумма;transactionDateTime|Количество;transactionAmount|Среднее;merchantCategoryCode|Кол-во уникальных;transactionDateTime|Минимум;transactionDateTime|Максимум;merchantCategoryCode|Мода;merchantCategoryCode|Мода|Значение;merchantCategoryCode|Мода|Координата;creditLimit|Среднее;currentBalance|Среднее
2;2;?;?;?;?;?;?;?;online_retail;1,3551554160492365E-84;?;?
2;2;?;?;?;?;?;?;?;online_subscriptions;0,9999999999457018;?;?
2;2;?;?;?;?;?;?;?;personal care;5,425760529116409E-43;?;?
2;2;?;?;?;?;?;?;?;rideshare;7,812940074407634E-115;?;?
2;2;?;?;?;?;?;?;?;subscriptions;5,732480939482451E-42;?;?
3;3;380,4364490006916;9;44,25626340471423;2;13.05.2016 21:13:11;17.12.2016 16:56:16;online_subscriptions;airline;2,470883177073886E-34;6851,526675279112;65,8928976319554
3;3;?;?;?;?;?;?;?;auto;4,267179432899669E-73;?;?
3;3;?;?;?;?;?;?;?;cable/phone;5,917090870577734E-109;?;?
3;3;?;?;?;?;?;?;?;entertainment;1,1835259849503636E-121;?;?
3;3;?;?;?;?;?;?;?;fastfood;5,739437352568665E-26;?;?
3;3;?;?;?;?;?;?;?;food;4,8474724853833025E-45;?;?
3;3;?;?;?;?;?;?;?;food_delivery;4,985666220482517E-84;?;?
3;3;?;?;?;?;?;?;?;fuel;1,6472136929846097E-95;?;?
3;3;?;?;?;?;?;?;?;furniture;3,6112532997439336E-96;?;?
3;3;?;?;?;?;?;?;?;gym;6,246038149453799E-26;?;?
3;3;?;?;?;?;?;?;?;health;1,1369967678351589E-62;?;?
3;3;?;?;?;?;?;?;?;hotels;3,539897989786395E-84;?;?
3;3;?;?;?;?;?;?;?;mobileapps;3,1946610958452378E-18;?;?
3;3;?;?;?;?;?;?;?;online_gifts;5,4964934373039714E-73;?;?
3;3;?;?;?;?;?;?;?;online_retail;3,2634233779203755E-96;?;?
3;3;?;?;?;?;?;?;?;online_subscriptions;0,9999999999999952;?;?
3;3;?;?;?;?;?;?;?;personal care;1,626882029622563E-53;?;?
3;3;?;?;?;?;?;?;?;rideshare;1,3299947049188373E-142;?;?
3;3;?;?;?;?;?;?;?;subscriptions;5,189965795320605E-43;?;?
4;4;583,5761314357279;11;43,396862944128834;3;02.05.2016 23:23:10;18.12.2016 16:20:12;online_subscriptions;airline;3,1764073001795045E-15;11703,010927491328;126,86920598289436
4;4;?;?;?;?;?;?;?;auto;1,5585827258380279E-46;?;?
4;4;?;?;?;?;?;?;?;cable/phone;2,6795923341033973E-67;?;?
4;4;?;?;?;?;?;?;?;entertainment;4,267902458511095E-78;?;?
4;4;?;?;?;?;?;?;?;fastfood;3,4517625862427023E-15;?;?
4;4;?;?;?;?;?;?;?;food;9,851816804064483E-19;?;?
4;4;?;?;?;?;?;?;?;food_delivery;3,992982531212072E-56;?;?
4;4;?;?;?;?;?;?;?;fuel;6,371685319046827E-56;?;?
4;4;?;?;?;?;?;?;?;furniture;1,6174760184859375E-56;?;?
4;4;?;?;?;?;?;?;?;gym;1,8243371899334579E-9;?;?
4;4;?;?;?;?;?;?;?;health;2,6180767950377995E-29;?;?
4;4;?;?;?;?;?;?;?;hotels;2,4179506204204442E-56;?;?
4;4;?;?;?;?;?;?;?;mobileapps;0,3086189827574348;?;?
4;4;?;?;?;?;?;?;?;online_gifts;2,193827222434036E-37;?;?
4;4;?;?;?;?;?;?;?;online_retail;2,4064718570195844E-67;?;?
4;4;?;?;?;?;?;?;?;online_subscriptions;0,691381015418218;?;?
4;4;?;?;?;?;?;?;?;personal care;4,2886261475976764E-30;?;?
4;4;?;?;?;?;?;?;?;rideshare;3,3026843850132555E-98;?;?
4;4;?;?;?;?;?;?;?;subscriptions;4,738634646199834E-15;?;?
5;5;92,43550594198074;5;20,90764187274971;2;10.09.2016 00:38:38;15.12.2016 18:25:41;mobileapps;airline;9,999225845962177E-31;8747,067472497029;13,799128459510904
5;5;?;?;?;?;?;?;?;auto;1,3799716718615543E-69;?;?
5;5;?;?;?;?;?;?;?;cable/phone;1,811518476489775E-81;?;?
5;5;?;?;?;?;?;?;?;entertainment;7,806306590010892E-93;?;?
5;5;?;?;?;?;?;?;?;fastfood;2,3487595746375433E-39;?;?
5;5;?;?;?;?;?;?;?;food;1,3085073571948686E-22;?;?
5;5;?;?;?;?;?;?;?;food_delivery;7,692779582266117E-81;?;?
5;5;?;?;?;?;?;?;?;fuel;4,969365694114377E-69;?;?
5;5;?;?;?;?;?;?;?;furniture;1,1626836230926353E-69;?;?
5;5;?;?;?;?;?;?;?;gym;1,3006121796218546E-22;?;?
5;5;?;?;?;?;?;?;?;health;7,85540820982773E-49;?;?
5;5;?;?;?;?;?;?;?;hotels;4,262696180698149E-81;?;?
5;5;?;?;?;?;?;?;?;mobileapps;0,9999999999999908;?;?
5;5;?;?;?;?;?;?;?;online_gifts;1,710672179992775E-48;?;?
5;5;?;?;?;?;?;?;?;online_retail;3,317824106053009E-93;?;?
5;5;?;?;?;?;?;?;?;online_subscriptions;8,771946166179556E-15;?;?
5;5;?;?;?;?;?;?;?;personal care;1,6697177939877501E-49;?;?
5;5;?;?;?;?;?;?;?;rideshare;2,7568756848684944E-119;?;?
5;5;?;?;?;?;?;?;?;subscriptions;2,9074638728647642E-30;?;?
6;6;394,280414771518;12;30,132269940740105;2;07.04.2016 17:33:52;17.12.2016 15:08:10;mobileapps;airline;2,739044684930508E-35;17332,239607205487;56,45534400673954
6;6;?;?;?;?;?;?;?;auto;9,309557922661846E-65;?;?
6;6;?;?;?;?;?;?;?;cable/phone;1,9876412365495035E-76;?;?
6;6;?;?;?;?;?;?;?;entertainment;9,287613727521347E-76;?;?
6;6;?;?;?;?;?;?;?;fastfood;1,5319986409332653E-44;?;?
6;6;?;?;?;?;?;?;?;food;5,975888825804558E-13;?;?
6;6;?;?;?;?;?;?;?;food_delivery;9,013551633416843E-76;?;?
6;6;?;?;?;?;?;?;?;fuel;1,1817461740158322E-53;?;?
6;6;?;?;?;?;?;?;?;furniture;2,8295821100936935E-54;?;?
6;6;?;?;?;?;?;?;?;gym;7,736602158628337E-20;?;?
6;6;?;?;?;?;?;?;?;health;1,3565811733605452E-44;?;?
6;6;?;?;?;?;?;?;?;hotels;1,7349227081965368E-76;?;?
6;6;?;?;?;?;?;?;?;mobileapps;0,9999999999994021;?;?
6;6;?;?;?;?;?;?;?;online_gifts;2,6457571976569047E-35;?;?
6;6;?;?;?;?;?;?;?;online_retail;4,633274952122187E-88;?;?
6;6;?;?;?;?;?;?;?;online_subscriptions;1,3757716111637144E-19;?;?
6;6;?;?;?;?;?;?;?;personal care;2,462237118771457E-45;?;?
6;6;?;?;?;?;?;?;?;rideshare;7,628197365585539E-101;?;?
6;6;?;?;?;?;?;?;?;subscriptions;7,076376237578166E-27;?;?
7;7;762,4282557236351;13;56,26836518265839;3;15.03.2016 20:43:05;19.12.2016 18:46:07;mobileapps;airline;1,877184342592364E-28;49961,64222878458;279,82514832986163
7;7;?;?;?;?;?;?;?;auto;1,4007053645654321E-53;?;?
7;7;?;?;?;?;?;?;?;cable/phone;4,6541460733111474E-64;?;?
7;7;?;?;?;?;?;?;?;entertainment;2,318663825590553E-53;?;?
7;7;?;?;?;?;?;?;?;fastfood;2,8825153364161774E-44;?;?
7;7;?;?;?;?;?;?;?;food;0,0005029490828421799;?;?
7;7;?;?;?;?;?;?;?;food_delivery;1,785340531629805E-63;?;?
7;7;?;?;?;?;?;?;?;fuel;8,453904482901043E-35;?;?
7;7;?;?;?;?;?;?;?;furniture;2,972717807203582E-44;?;?
7;7;?;?;?;?;?;?;?;gym;1,415176287350447E-20;?;?
7;7;?;?;?;?;?;?;?;health;2,000825874164038E-35;?;?
7;7;?;?;?;?;?;?;?;hotels;1,2057798566956329E-74;?;?
7;7;?;?;?;?;?;?;?;mobileapps;0,9994970509171587;?;?
7;7;?;?;?;?;?;?;?;online_gifts;1,0461122706746527E-20;?;?
7;7;?;?;?;?;?;?;?;online_retail;4,879130577446785E-75;?;?
7;7;?;?;?;?;?;?;?;online_subscriptions;2,630422816134084E-20;?;?
7;7;?;?;?;?;?;?;?;personal care;3,127391694577474E-36;?;?
7;7;?;?;?;?;?;?;?;rideshare;1,763476261119915E-86;?;?
7;7;?;?;?;?;?;?;?;subscriptions;3,977891820035776E-20;?;?
8;8;26305,48950759591;186;135,2133212921402;5;05.01.2016 02:50:37;28.12.2016 13:55:55;food;airline;4,180480040824433E-60;5554,3927734921635;1949,4097814011761
8;8;?;?;?;?;?;?;?;auto;4,7327222328352555E-88;?;?
8;8;?;?;?;?;?;?;?;cable/phone;1,210024300800296E-88;?;?
8;8;?;?;?;?;?;?;?;entertainment;6,507139397449838E-68;?;?
8;8;?;?;?;?;?;?;?;fastfood;7,189818698399298E-78;?;?
8;8;?;?;?;?;?;?;?;food;0,9999999999999882;?;?
8;8;?;?;?;?;?;?;?;food_delivery;5,134053195764759E-88;?;?
8;8;?;?;?;?;?;?;?;fuel;1,5516722549897168E-50;?;?
8;8;?;?;?;?;?;?;?;furniture;3,64515128051092E-68;?;?
8;8;?;?;?;?;?;?;?;gym;3,3637595632119064E-51;?;?
8;8;?;?;?;?;?;?;?;health;3,2708562733238024E-59;?;?
8;8;?;?;?;?;?;?;?;hotels;1,675749140321409E-111;?;?
8;8;?;?;?;?;?;?;?;mobileapps;1,0953797242213513E-14;?;?
8;8;?;?;?;?;?;?;?;online_gifts;6,746606599608259E-44;?;?
8;8;?;?;?;?;?;?;?;online_retail;8,349900462809477E-100;?;?
8;8;?;?;?;?;?;?;?;online_subscriptions;6,115143941650653E-51;?;?
8;8;?;?;?;?;?;?;?;personal care;5,260386681221006E-60;?;?
8;8;?;?;?;?;?;?;?;rideshare;2,3908248026582227E-111;?;?
8;8;?;?;?;?;?;?;?;subscriptions;1,3011651355674671E-43;?;?
9;9;14345,804340039002;102;133,53705700636831;4;18.01.2016 06:42:59;25.12.2016 00:58:42;food;airline;7,847270359805552E-83;5027,140401826267;1317,4826228018217
9;9;?;?;?;?;?;?;?;auto;2,3099256957862674E-124;?;?
9;9;?;?;?;?;?;?;?;cable/phone;5,870289481021939E-110;?;?
9;9;?;?;?;?;?;?;?;entertainment;6,578517046823342E-69;?;?
9;9;?;?;?;?;?;?;?;fastfood;1,1567141661504767E-109;?;?
9;9;?;?;?;?;?;?;?;food;0,9999999999999958;?;?
9;9;?;?;?;?;?;?;?;food_delivery;2,151749972940349E-109;?;?
9;9;?;?;?;?;?;?;?;fuel;3,3715052007431177E-44;?;?
9;9;?;?;?;?;?;?;?;furniture;7,665664734793058E-82;?;?
9;9;?;?;?;?;?;?;?;gym;9,983772901290084E-69;?;?
9;9;?;?;?;?;?;?;?;health;9,911158630809477E-69;?;?
9;9;?;?;?;?;?;?;?;hotels;2,7871273688819693E-156;?;?
9;9;?;?;?;?;?;?;?;mobileapps;1,8670162481672942E-24;?;?
9;9;?;?;?;?;?;?;?;online_gifts;8,170747480723147E-45;?;?
9;9;?;?;?;?;?;?;?;online_retail;5,922745790724558E-125;?;?
9;9;?;?;?;?;?;?;?;online_subscriptions;1,8306525731055236E-68;?;?
9;9;?;?;?;?;?;?;?;personal care;8,647024587896097E-82;?;?
9;9;?;?;?;?;?;?;?;rideshare;6,455875416755862E-140;?;?
9;9;?;?;?;?;?;?;?;subscriptions;8,753856694694195E-45;?;?
10;10;7334,516577129419;52;140,68600192166238;3;15.01.2016 01:11:50;17.12.2016 12:24:29;food;airline;1,0549371700051583E-102;5209,857667921069;1188,4341519476386
10;10;?;?;?;?;?;?;?;auto;2,872432537142645E-146;?;?
10;10;?;?;?;?;?;?;?;cable/phone;2,4169515579771936E-116;?;?
10;10;?;?;?;?;?;?;?;entertainment;3,9485635249456824E-75;?;?
10;10;?;?;?;?;?;?;?;fastfood;5,037790460088893E-131;?;?
10;10;?;?;?;?;?;?;?;food;0,999999999999997;?;?
10;10;?;?;?;?;?;?;?;food_delivery;8,956644204793667E-116;?;?
10;10;?;?;?;?;?;?;?;fuel;3,3673203536595243E-38;?;?
10;10;?;?;?;?;?;?;?;furniture;2,1071376101030594E-88;?;?
10;10;?;?;?;?;?;?;?;gym;2,160659221359356E-88;?;?
10;10;?;?;?;?;?;?;?;health;2,2029782390291851E-75;?;?
10;10;?;?;?;?;?;?;?;hotels;1,906148883772222E-179;?;?
10;10;?;?;?;?;?;?;?;mobileapps;2,0571921278303363E-39;?;?
10;10;?;?;?;?;?;?;?;online_gifts;1,0070118198068963E-50;?;?
10;10;?;?;?;?;?;?;?;online_retail;2,376424715609489E-131;?;?
10;10;?;?;?;?;?;?;?;online_subscriptions;4,129292965258529E-88;?;?
10;10;?;?;?;?;?;?;?;personal care;6,842750407025321E-102;?;?
10;10;?;?;?;?;?;?;?;rideshare;2,423109468757562E-146;?;?
10;10;?;?;?;?;?;?;?;subscriptions;7,948748526923577E-63;?;?
11;11;547,3858849093734;5;123,93993331159984;2;12.06.2016 18:17:35;29.09.2016 01:37:15;food;airline;1,804412885427507E-74;10236,246990695807;87,70583330518373
11;11;?;?;?;?;?;?;?;auto;7,12952892083141E-113;?;?
11;11;?;?;?;?;?;?;?;cable/phone;5,297791547068606E-74;?;?
11;11;?;?;?;?;?;?;?;entertainment;2,8933543616906434E-41;?;?
11;11;?;?;?;?;?;?;?;fastfood;3,3544317572733777E-99;?;?
11;11;?;?;?;?;?;?;?;food;0,9999999983834004;?;?
11;11;?;?;?;?;?;?;?;food_delivery;2,2652935958340702E-73;?;?
11;11;?;?;?;?;?;?;?;fuel;1,6165990965969224E-9;?;?
11;11;?;?;?;?;?;?;?;furniture;1,510390853500733E-51;?;?
11;11;?;?;?;?;?;?;?;gym;2,933448548690369E-62;?;?
11;11;?;?;?;?;?;?;?;health;2,905056331320507E-51;?;?
11;11;?;?;?;?;?;?;?;hotels;4,0795341023900802E-143;?;?
11;11;?;?;?;?;?;?;?;mobileapps;8,033135490763015E-25;?;?
11;11;?;?;?;?;?;?;?;online_gifts;4,040997755511065E-24;?;?
11;11;?;?;?;?;?;?;?;online_retail;1,538518622762328E-98;?;?
11;11;?;?;?;?;?;?;?;online_subscriptions;5,429755212883998E-62;?;?
11;11;?;?;?;?;?;?;?;personal care;1,1196124865201016E-73;?;?
11;11;?;?;?;?;?;?;?;rideshare;6,836744033873898E-99;?;?
11;11;?;?;?;?;?;?;?;subscriptions;1,499482512973782E-41;?;?
12;12;1174,6137580014306;18;78,05867315295232;3;08.04.2016 13:56:18;10.12.2016 05:44:40;fuel;airline;4,0066844451421095E-66;4600,263282302297;326,18093792043334
12;12;?;?;?;?;?;?;?;auto;1,7207262504070228E-94;?;?
12;12;?;?;?;?;?;?;?;cable/phone;5,2551831687085226E-55;?;?
12;12;?;?;?;?;?;?;?;entertainment;6,837974428963596E-28;?;?
12;12;?;?;?;?;?;?;?;fastfood;2,27472246696343E-88;?;?
12;12;?;?;?;?;?;?;?;food;0,22292578429716486;?;?
12;12;?;?;?;?;?;?;?;food_delivery;8,088544822569204E-55;?;?
12;12;?;?;?;?;?;?;?;fuel;0,777074215702842;?;?
12;12;?;?;?;?;?;?;?;furniture;2,16317342358883E-36;?;?
12;12;?;?;?;?;?;?;?;gym;9,753112242097466E-55;?;?
12;12;?;?;?;?;?;?;?;health;6,903330739981944E-45;?;?
12;12;?;?;?;?;?;?;?;hotels;1,1700072291758922E-112;?;?
12;12;?;?;?;?;?;?;?;mobileapps;2,1242855019715437E-21;?;?
12;12;?;?;?;?;?;?;?;online_gifts;8,67805116681581E-15;?;?
12;12;?;?;?;?;?;?;?;online_retail;6,901850256035279E-76;?;?
12;12;?;?;?;?;?;?;?;online_subscriptions;1,5885028307268952E-54;?;?
12;12;?;?;?;?;?;?;?;personal care;4,758030836917232E-65;?;?
12;12;?;?;?;?;?;?;?;rideshare;4,813448810347796E-76;?;?
12;12;?;?;?;?;?;?;?;subscriptions;3,712176007590972E-36;?;?
13;13;1052,440061015613;18;60,46754916958119;3;25.05.2016 06:00:08;25.12.2016 17:08:09;fuel;airline;4,959010510587502E-105;4484,451929859672;295,1279677482375
13;13;?;?;?;?;?;?;?;auto;1,0584606797436259E-144;?;?
13;13;?;?;?;?;?;?;?;cable/phone;2,7939766303880235E-80;?;?
13;13;?;?;?;?;?;?;?;entertainment;3,2397386014611684E-48;?;?
13;13;?;?;?;?;?;?;?;fastfood;4,649912941320912E-131;?;?
13;13;?;?;?;?;?;?;?;food;2,753318532032121E-15;?;?
13;13;?;?;?;?;?;?;?;food_delivery;9,370895385735831E-92;?;?
13;13;?;?;?;?;?;?;?;fuel;0,9999999999999946;?;?
13;13;?;?;?;?;?;?;?;furniture;1,995628500497512E-58;?;?
13;13;?;?;?;?;?;?;?;gym;1,1168462629065738E-91;?;?
13;13;?;?;?;?;?;?;?;health;1,300503863871981E-79;?;?
13;13;?;?;?;?;?;?;?;hotels;1,4847311798055104E-160;?;?
13;13;?;?;?;?;?;?;?;mobileapps;3,77835623578577E-49;?;?
13;13;?;?;?;?;?;?;?;online_gifts;3,89489731754747E-39;?;?
13;13;?;?;?;?;?;?;?;online_retail;9,676920639683948E-104;?;?
13;13;?;?;?;?;?;?;?;online_subscriptions;1,7786739892581573E-91;?;?
13;13;?;?;?;?;?;?;?;personal care;4,234485194329636E-104;?;?
13;13;?;?;?;?;?;?;?;rideshare;6,755918659154329E-104;?;?
13;13;?;?;?;?;?;?;?;subscriptions;1,0610188220713628E-68;?;?
14;14;440,86601826805645;10;44,57708892740305;2;30.08.2016 00:22:23;23.12.2016 13:19:52;fuel;airline;2,045205266058847E-106;5384,633915180472;78,77851497966911
14;14;?;?;?;?;?;?;?;auto;2,6503716187226547E-129;?;?
14;14;?;?;?;?;?;?;?;cable/phone;5,167820557869108E-70;?;?
14;14;?;?;?;?;?;?;?;entertainment;4,115291939616262E-40;?;?
14;14;?;?;?;?;?;?;?;fastfood;-1,0311506094569991E-128;?;?
14;14;?;?;?;?;?;?;?;food;1,7746969549320787E-17;?;?
14;14;?;?;?;?;?;?;?;food_delivery;6,320935769565291E-93;?;?
14;14;?;?;?;?;?;?;?;fuel;0,9999999999999959;?;?
14;14;?;?;?;?;?;?;?;furniture;2,7401843446823725E-59;?;?
14;14;?;?;?;?;?;?;?;gym;7,86110724214392E-93;?;?
14;14;?;?;?;?;?;?;?;health;1,1865883458563923E-80;?;?
14;14;?;?;?;?;?;?;?;hotels;4,246957419886027E-129;?;?
14;14;?;?;?;?;?;?;?;mobileapps;5,952380842791471E-50;?;?
14;14;?;?;?;?;?;?;?;online_gifts;2,9788331503916177E-40;?;?
14;14;?;?;?;?;?;?;?;online_retail;1,2565314963771038E-92;?;?
14;14;?;?;?;?;?;?;?;online_subscriptions;1,2190879246533209E-92;?;?
14;14;?;?;?;?;?;?;?;personal care;2,592280549934145E-105;?;?
14;14;?;?;?;?;?;?;?;rideshare;1,3029452066580666E-92;?;?
14;14;?;?;?;?;?;?;?;subscriptions;1,8076357282928434E-69;?;?
15;15;11232,035560487306;83;128,55850763297036;4;14.01.2016 23:50:10;20.12.2016 11:23:04;fastfood;airline;5,875478822148314E-38;49999,99812432592;3386,3942175180982
15;15;?;?;?;?;?;?;?;auto;1,4671978620606575E-55;?;?
15;15;?;?;?;?;?;?;?;cable/phone;3,557160125243475E-105;?;?
15;15;?;?;?;?;?;?;?;entertainment;4,2691913632970627E-104;?;?
15;15;?;?;?;?;?;?;?;fastfood;0,9999999999999948;?;?
15;15;?;?;?;?;?;?;?;food;3,1985546185476274E-75;?;?
15;15;?;?;?;?;?;?;?;food_delivery;2,666473151560819E-98;?;?
15;15;?;?;?;?;?;?;?;fuel;1,4264844089898708E-104;?;?
15;15;?;?;?;?;?;?;?;furniture;6,156543444790662E-105;?;?
15;15;?;?;?;?;?;?;?;gym;1,3207325036690752E-46;?;?
15;15;?;?;?;?;?;?;?;health;1,7522866519889194E-85;?;?
15;15;?;?;?;?;?;?;?;hotels;5,124348225895455E-65;?;?
15;15;?;?;?;?;?;?;?;mobileapps;2,7452297540411445E-46;?;?
15;15;?;?;?;?;?;?;?;online_gifts;3,260406919581088E-98;?;?
15;15;?;?;?;?;?;?;?;online_retail;4,958787751995519E-86;?;?
15;15;?;?;?;?;?;?;?;online_subscriptions;9,362814277567411E-16;?;?
15;15;?;?;?;?;?;?;?;personal care;2,1584136187447487E-65;?;?
15;15;?;?;?;?;?;?;?;rideshare;4,0315055152911625E-104;?;?
15;15;?;?;?;?;?;?;?;subscriptions;5,552768513835727E-65;?;?
16;16;1127,1571327772901;9;111,14631490482927;3;08.02.2016 15:20:11;29.09.2016 22:32:22;fastfood;airline;2,0550324410332419E-16;17940,254374796456;333,86363797734947
16;16;?;?;?;?;?;?;?;auto;9,883362223669358E-38;?;?
16;16;?;?;?;?;?;?;?;cable/phone;2,61044420671429E-91;?;?
16;16;?;?;?;?;?;?;?;entertainment;3,6175810658814076E-90;?;?
16;16;?;?;?;?;?;?;?;fastfood;0,9965928907846735;?;?
16;16;?;?;?;?;?;?;?;food;2,5413355580942096E-46;?;?
16;16;?;?;?;?;?;?;?;food_delivery;4,991983236214882E-66;?;?
16;16;?;?;?;?;?;?;?;fuel;1,7353161839218815E-88;?;?
16;16;?;?;?;?;?;?;?;furniture;6,270620143999807E-89;?;?
16;16;?;?;?;?;?;?;?;gym;8,177566101431365E-23;?;?
16;16;?;?;?;?;?;?;?;health;5,849559974552241E-53;?;?
16;16;?;?;?;?;?;?;?;hotels;2,097177011393786E-46;?;?
16;16;?;?;?;?;?;?;?;mobileapps;1,622593617703779E-22;?;?
16;16;?;?;?;?;?;?;?;online_gifts;5,321550911869775E-66;?;?
16;16;?;?;?;?;?;?;?;online_retail;2,895292699377829E-56;?;?
16;16;?;?;?;?;?;?;?;online_subscriptions;0,0034071092153257943;?;?
16;16;?;?;?;?;?;?;?;personal care;4,998428934279589E-38;?;?
16;16;?;?;?;?;?;?;?;rideshare;3,0101934514902396E-90;?;?
16;16;?;?;?;?;?;?;?;subscriptions;1,0683586124269761E-37;?;?
17;17;552,2091063180113;10;63,646126521249215;2;11.04.2016 11:19:20;21.11.2016 05:20:21;online_subscriptions;airline;2,9516376074896254E-9;9769,644089385374;137,96222373963795
17;17;?;?;?;?;?;?;?;auto;3,362310349741341E-36;?;?
17;17;?;?;?;?;?;?;?;cable/phone;2,5894946494472932E-80;?;?
17;17;?;?;?;?;?;?;?;entertainment;4,0264715127384435E-79;?;?
17;17;?;?;?;?;?;?;?;fastfood;0,1973628566240483;?;?
17;17;?;?;?;?;?;?;?;food;4,283990116525745E-36;?;?
17;17;?;?;?;?;?;?;?;food_delivery;2,4823126744459605E-54;?;?
17;17;?;?;?;?;?;?;?;fuel;3,581693642068133E-75;?;?
17;17;?;?;?;?;?;?;?;furniture;1,2912158640479793E-75;?;?
17;17;?;?;?;?;?;?;?;gym;8,020336267535436E-15;?;?
17;17;?;?;?;?;?;?;?;health;6,139648738376985E-44;?;?
17;17;?;?;?;?;?;?;?;hotels;6,940206742612505E-45;?;?
17;17;?;?;?;?;?;?;?;mobileapps;1,646134112809559E-14;?;?
17;17;?;?;?;?;?;?;?;online_gifts;2,9065204081538574E-54;?;?
