node_id;cluster_id;transactionAmount|Сумма;transactionDateTime|Количество;transactionAmount|Среднее;merchantCategoryCode|Кол-во уникальных
117;117;18039,589735250884;109;165,2919241005289;4
118;118;10043,060043752745;57;176,39073924488994;4
119;119;7476,014592386318;39;190,1950592878285;4
120;120;1097,1608479941672;30;36,972864728030146;5
121;121;1912,0549192314295;36;52,63859511869786;5
122;122;2478,1653202187185;37;66,80184613105496;5
123;123;2767,248721466706;36;76,76883612426332;4
124;124;3126,6121148821244;35;87,95799737279476;4
125;125;4102,881741463449;44;92,94157115978352;5
126;126;4898,9611291547435;51;95,62739505976677;5
127;127;7136,44273434338;64;111,0773401093991;5
128;128;9845,73505456529;81;121,40777969728008;5
129;129;34644,3288073237;264;130,75967750311156;5
130;130;83961,33506611656;570;142,5198342925138;5
131;131;57372,111426354495;385;154,24608937658505;4
132;132;45807,80455017744;300;162,50329705930108;4
133;133;22181,06451111857;136;174,23482832523942;4
134;134;12635,797534498377;66;194,28552562897616;5
135;135;2043,4725705372384;44;46,790897988064344;6
136;136;2662,5251896064783;45;58,75447798333368;6
137;137;3079,8105602263304;44;66,77846894632093;6
138;138;3142,0987561723186;43;72,14897281842812;5
139;139;3307,742235928113;42;79,67076965943816;5
140;140;2721,457328322823;35;77,36412928551675;5
141;141;3694,27910372688;42;87,09339438185815;5
142;142;5282,336643930871;51;103,55482098006922;5
143;143;7539,609266559944;65;116,2747853514114;5
144;144;12290,34555962298;95;129,91614423730658;5
145;145;12993,63085166673;94;138,74596299679817;5
146;146;46353,27406841532;338;137,32779166775705;5
147;147;272239,6204147466;1843;147,47568513589468;5
148;148;76460,50357905541;494;154,75642037308987;5
149;149;15553,898513920098;91;171,85784168318258;5
150;150;2615,394541041006;45;58,16372723644729;7
151;151;5782,388083424777;71;81,19924317325996;7
152;152;4692,278510223029;59;79,1563067106922;6
153;153;3569,9427294625707;47;74,4302000726224;6
154;154;4698,48253849502;53;85,04603804153979;6
155;155;3997,020240713315;45;87,55818097283654;5
156;156;5393,613591504768;56;96,7541494730405;5
157;157;7526,523868502276;66;113,30595275242243;5
158;158;9231,17885307912;73;126,15732541658538;5
159;159;12170,914793329075;91;134,02589628321758;5
160;160;12801,39092124621;89;143,53916903310636;5
161;161;84460,5684272815;584;144,75006058527617;5
162;162;136616,38578862505;928;147,43086577312238;5
163;163;22220,534921250015;142;156,47159558848853;5
164;164;23672,008929441003;145;162,96076332591485;5
165;165;5895,661704878622;76;76,04503372019329;8
166;166;6592,349069820821;66;100,1278153718451;8
167;167;13757,838955555413;121;106,18330991549689;8
168;168;8025,128969968667;78;98,35072104035714;7
169;169;8603,06670372914;85;100,76446885882102;7
170;170;11957,460326871362;104;108,48149713122145;7
171;171;4211,009282042531;48;87,04401670243848;6
172;172;6727,492894576223;68;98,83340678305926;6
173;173;10001,976956925331;86;115,03495322613945;6
174;174;13107,309892923558;103;127,01810341465695;6
175;175;13929,841560400748;104;134,82514753741216;6
176;176;23706,76050137654;168;139,75494479348507;6
177;177;43101,363778315;297;143,7513882150052;6
178;178;35472,977249449585;236;150,77641448396676;5
179;179;23211,535426829298;154;150,30681632205352;5
180;180;21430,152210009463;183;114,19676255543214;9
181;181;20830,910260013286;169;122,36434591771582;8
182;182;20276,2040676559;160;123,6868295907197;8
183;183;10873,00214602944;94;115,59532464427252;7
184;184;19458,051212143928;152;127,47745334018283;7
185;185;36060,127639956634;256;129,86781478598857;7
186;186;27001,891461595922;201;109,80539697195178;6
187;187;8912,807651751713;82;108,97663435076052;6
188;188;13011,648431186364;109;119,50171588765285;6
189;189;15555,560054609277;121;127,70269788531658;6
190;190;14342,097740820926;106;134,88672596636667;6
191;191;28665,226235011734;204;140,5201193268526;6
192;192;17858,996684514335;123;145,42059794721277;6
193;193;23447,975567283567;157;149,18413354211341;5
194;194;41447,22285469056;285;145,3806741598771;5
195;195;651197,2120776442;4380;148,22036651897568;10
196;196;33122,4088749456;243;135,62196747845934;9
197;197;31753,598416305646;232;136,36268875482548;8
198;198;53755,945863862165;376;136,21619261547488;8
199;199;35059,05307044294;254;138,1661710672225;7
200;200;34937,7108120098;225;155,45044929303197;7
201;201;143479,17882717564;970;147,8519756219746;7
202;202;134985,84408701412;917;130,38850259450982;7
203;203;150847,14469418486;1029;119,53314567579466;6
204;204;116764,06960566183;801;127,99160726059296;6
205;205;53513,16137303795;393;136,04091341517255;6
206;206;106353,15222990744;740;143,4627902574743;6
207;207;64992,96537461032;446;145,57090540942045;6
208;208;28814,055969763573;190;151,72818705954404;6
209;209;24805,586649817065;163;155,892024786381;6
210;210;92086,14500459716;617;145,40462228885545;10
211;211;129213,49353635243;871;149,1516082162991;9
212;212;70298,31511299778;475;148,81261974675203;8
213;213;223487,42833722362;1511;147,88494771478534;8
214;214;41480,22253232855;286;145,35254162638344;7
215;215;15592,297867836736;88;177,03791571301753;7
216;216;314323,50102591794;2104;149,8946803039887;7
217;217;655250,623961367;4368;150,00113481230895;7
218;218;2696759,7056678333;18057;149,2815564501742;8
219;219;402952,72557337594;2686;149,99234854696329;6
220;220;196705,434927937;1320;148,97346044950316;6
221;221;89857,37025637295;586;153,4032113048836;6
222;222;23619,481947202432;146;163,02110426437804;6
223;223;15667,580415486354;90;176,87598411583642;6
224;224;5637,688532214066;27;220,87480051845748;6
