Номер узла;Номер кластера;airline;auto;entertainment;fastfood;food;furniture;health;hotels;online_gifts;online_retail;personal care;rideshare;subscriptions;transactionAmount|Сумма;transactionAmount|Среднее;merchantCategoryCode|Кол-во уникальных;creditLimit|Среднее;currentBalance|Среднее;transactionDateTime|Количество
36;36;0,013640760265082189;0,027354873689933647;0,003160573839246739;0,018849578835450943;0,7288330989209615;7,90911006559804E-9;0,0035568785184273703;0,0012973133348523705;0,022717771545017126;0,08314332158285614;0,006611942449186631;0,007572297598763307;0,005344728195830676;5006,249116153504;119,16355312709821;3;15187,728032385852;886,0897824800898;40
37;37;0,002804882156563047;3,82437090668791E-6;0,01077139077614437;0,004535441299683689;0,689475545596413;1,1620619784141451E-7;0,0096130097611545;0,020363507362756602;0,0033197229949547906;0,028821858278091906;0,00004121407484835769;0,20969343067325386;7,09069787752091E-7;9691,730003447357;147,7588997862815;4;5677,26541972569;1487,7229061713151;66
38;38;0,0002803480149930917;0,004090154592901136;0,009146520471834356;0,025303991110569694;0,6504538922888263;1,6435995366668196E-8;0,012926688527660579;0,006352119061002526;0,015280810415911115;0,14505039776743198;0,024800273924915815;0,02933151722976725;0,005223989511429782;15860,847476047307;129,3337971403834;5;5608,643487730492;1853,3335100803088;114
39;39;0,05778481181706307;0,011772584684500372;0,020571464884818293;0,06453725662661508;0,5122989998192432;3,6341931718067755E-7;0,026635642131441543;0,07834775576396227;0,021223375179313032;0,05576144764709783;0,0012706567541147058;0,02551057011966756;0,04971915004583861;102358,4160244639;128,31560919862687;8;6032,274347100825;1490,8569044077515;711
40;40;0,031057369341091795;0,00004582609205371367;0,034775308306275454;0,0056799211297071635;0,400602899166797;0,0004538456880110097;0,000037706333048097294;0,011282247679341665;0,00010443157592056072;0,011848246717781246;0,00004351983179319091;0,00041422568535146373;0,430060891864896;8911,25966215794;101,59405209485183;5;7528,080952324044;1588,8679985645408;69
41;41;3,049469077820217E-7;0,0007803396116686541;0,03504540237545577;0,4139756470513128;0,02657020396290181;2,651017620771216E-7;0,0009470735414275609;0,0006221465202146822;0,00021926782716155918;0,0035654075449042407;0,0031446178963092835;0,010540815315465727;0,45440170663517787;7323,085300967205;118,9833933375586;4;8582,059611454055;888,1898221211533;56
42;42;0,000053400178833791224;0,03644094428828215;0,023493886093300612;0,2326318586083234;0,02886885559440213;0,000040593220408161654;0,04440065602348034;0,055443419139500516;0,014275188676804246;0,16697442542319285;0,00013505081291318913;0,00029610432478042445;0,326538650803797;22511,833795260653;114,73152179236061;6;9822,734956511424;1121,4719631823255;165
43;43;0,0000737226419876275;4,181712914076148E-8;0,03813910169716597;0,010123968114742234;0,049605937706291306;0,00027131887030605595;3,197387752533879E-6;0,34569721066499753;0,003735326724930323;0,5066840420183994;4,1703057862154776E-8;0,00872921335030375;0,014133414453883976;15759,176876340118;139,85279837680798;4;7067,684440171755;1742,2162653922267;111
44;44;0,0023462046421492246;0,00532715133778428;0,007966021779719654;0,0604494556444334;0,010445699495722348;0,0011898432502308225;0,02053856305600283;0,40945580982101465;0,07474854060356054;0,02683578265318284;0,0247408960782065;0,012046493973313381;0,048203578203015414;6389,096686045729;80,95693084809497;5;7637,816871180326;709,547899425408;62
45;45;0,140617841062873;0,4908262499701882;0,00022113598828340318;0,011112919427020326;0,035936299082305355;2,4577355125774777E-6;0,05197463544467225;0,011631930481649752;0,025422322609112934;0,05797628423204851;0,000044854627043971306;0,09162310780266207;0,005105478284900215;19415,180854803195;130,6072121936981;5;3510,4990150336303;1236,770302561231;146
46;46;1,3154305564649467E-8;0,8382287986321756;0,015786193984774002;0,03812614415164715;0,0054623812103094214;3,1804402812846223E-13;6,879567660640483E-9;0,006645136960793243;1,0665442885145402E-8;0,030729449127550386;3,6551151027739094E-9;0,0016134119310216397;7,560626584225248E-9;11805,38222947243;111,9637225648773;3;6867,392558964273;809,1570678707676;86
47;47;0,00575303560637082;0,4295139691457037;0,020894484608586956;0,04323010116822258;0,042961124180593536;0,3161427032077733;0,00347821341023101;0,0049685800431661705;0,010691449448257695;0,048260332735115964;0,005379325871194636;0,01077402171489212;0,007898249899122625;27614,321248707613;120,8983685064142;5;8006,254415914578;1564,6386937580535;194
48;48;0,0084027137226048;0,012328443616051723;0,03521187331484382;0,028025991319191042;0,11029546465205056;0,551738736321811;0,005374279462411617;0,0019373079868831868;0,042657926228721076;0,10331279791420167;0,0018098038784323674;0,007790429818022597;0,011770783891629314;21270,540044479967;121,71599411872874;6;8457,457868735608;2000,8325936333863;149
49;49;0,00060198878017404;0,0009407817160010506;0,006731309054179017;0,4967131448988914;0,019801715262205814;0,2171670666670348;0,0012769960477496353;0,010362653249808272;0,0017423165704453548;0,01483496358783722;0,0010721909474511173;0,08078156644454891;0,0012104677434524914;6826,308255854995;121,48679235066894;5;4403,028427187725;640,3989492876941;51
50;50;1,3351852633769347E-6;0,0006916554477202674;6,5037686991600074E-6;0,6649596362917112;0,0038816957977963113;0,0014378929824243446;5,060073828866955E-7;0,0010976313563763372;0,015897338577059935;0,03578148548972672;0,0013335308930514588;0,23861281842970564;0,0012755363312370715;11654,446915770053;124,61792860726152;4;5423,123852702269;1794,723036499611;89
51;51;2,747131468213211E-7;0,0002445744262847406;0,23736531080432088;0,6643579834629031;0,004584344949573092;3,7472669219332866E-8;9,996288473372816E-8;4,32721257089238E-7;4,940133540057798E-7;0,05872224987321091;0,0034313315914307014;1,0103834785343862E-6;2,111471059029542E-7;11281,479464494783;128,14749185137978;4;8100,278444841221;1698,5800329029378;85
52;52;0,0035408859456060033;6,324324423064154E-9;0,0034404388399874608;0,8809797074866451;1,2911639506676543E-8;0,002047522050083145;0,0007615676799713019;0,010069707081614414;0,0039060938171854047;0,0019454351209168032;0,00009017772360062297;0,0030910416101918576;6,629061980668416E-9;1418,0409284042557;71,33296409576957;2;6569,001210650011;418,3981715187378;18
53;53;5,472018039157717E-8;5,732114441069626E-13;9,736175291157769E-8;0,9934528192078177;5,721632047301343E-8;3,368034363021389E-8;3,0811378465306433E-9;3,009586281413456E-8;0,0013378475370951675;1,221954161724867E-7;4,169363910271158E-8;7,260250289196497E-8;3,6549795982203795E-11;2901,5185241731415;133,5929992537999;1;14720,57728332061;831,1940011748884;22
54;54;0,000057711026513087655;2,6833151563330827E-6;0,0008621000752453072;0,007676083381317193;0,5970383577835465;0,02509130059710045;0,01625310007761378;0,04704447894256586;0,00001005713421987886;0,011584554355001025;1,2028614502162837E-7;8,641795745265106E-8;0,000031853198547626394;997,4546364023267;58,47115181561191;3;5758,420903260816;236,46701084898507;17
55;55;0,000010483103611660004;0,3044605320642535;0,047875020340815255;0,0660212364759213;0,47849406201906175;6,880249957148142E-6;0,000026158721238043548;0,0000179535404019118;0,0031326445184514783;0,01454850935182867;3,527171594910658E-6;0,00041059770809882275;0,003192221347243979;21135,90734932359;110,65434095233094;4;9181,938439125504;1372,4065820106318;144
56;56;0,010834934920398059;0,0011126072831227573;0,008573811097158919;0,2612998558620466;0,6019740960071267;2,598158821683269E-10;0,01322153356809333;0,00002831264600794573;0,003817302830483958;0,03149777931666675;0,0031357115621793255;0,01563235335396934;0,002273435565015125;17231,03198901381;126,59451585703768;4;7876,227756659631;1364,224198126762;123
57;57;0,0000194963942815646;0,0056098742393036315;0,030134943922404445;0,03745745683309549;0,42054086103996685;0,00003745223826542691;0,00002830000253981999;0,04046352174204693;0,27593803844456405;0,051231062355496564;0,009149941782551038;0,03388205975982689;0,062260551836125604;27259,168156577914;135,93859254304365;6;3466,9941232526717;1135,4636865294187;195
58;58;0,006974560866642888;0,011862331291551516;0,0014995285798855838;0,03695709459112838;0,0422503509146857;4,004340418156781E-6;0,00862858338749263;0,00006283982444415777;0,010245729038796246;0,05383740703803567;0,00007900042298866738;0,3437791122075442;0,46666526557549487;24619,399436155963;132,23497431649687;6;4433,513706779194;1468,934142831828;173
59;59;0,003252516979966671;0,001653919872781261;0,02040288193458383;0,04734496292331235;0,020183036018084927;0,0050287568845660685;6,4653751882642865E-9;0,0026361313372251717;0,009913984722612033;0,037959777131516055;0,011322086349412482;0,005180293552797975;0,8163822852414517;29436,828428090856;135,86488992934062;6;7593,415675468489;2864,1989481235332;204
60;60;0,0190646368214529;0,006075213568941093;0,021829469800231538;0,04935303551499906;0,03677147297574466;0,002536115567029334;0,001165450306542774;0,025903614659898894;0,031939909343290086;0,12072418153977531;0,04142100712132372;0,02168331513217726;0,5982804332826995;32457,533854524645;130,5207694725512;8;9821,151501057966;3175,1656627474595;231
61;61;2,4718843474723427E-7;0,002860185511344427;0,02312948059349974;0,015987086609103;0,018851220849951597;4,059155460047349E-8;1,6811939594024673E-7;0,014841997054207665;0,004933116811029522;0,4822127693305697;3,0358746802934933E-7;0,011160620716868578;0,3876615432723347;13065,81754018096;126,93688985503452;5;6697,962864107143;1338,5265378847332;97
62;62;0,0006055703373533581;0,004690874093592162;0,0030156804121454256;0,006985829263666623;0,008061307828625663;0,0000676940851513139;0,0008290877148675802;0,21959481961922472;0,23404888323612819;0,43394406971940436;0,000879116988472816;0,0050176291285242;0,02099389838445097;10157,272358845463;134,08776603081287;4;6957,359373052599;2833,8706438133754;70
63;63;0,00018150152580834024;0,2887504526974853;0,004096806286212498;0,08763062214278945;0,04029804461785633;2,478981856171976E-6;0,0000732156961485605;0,006920324203135562;0,13182755670789031;0,42359849357093504;0,0013522135761967905;0,00027896436456677914;0,00008313732013447384;37344,56522650374;137,53772469277646;6;3459,261782202299;1632,3803693197233;265
64;64;1,4669635707005384E-7;0,501982786554853;0,03905920581394311;0,014188923639123519;0,005908464104419387;8,661331671773393E-12;8,948066428502377E-8;0,0006890510841249661;0,0020009327620556464;0,3676569202266947;2,9871379353409504E-7;0,017377593506113193;4,362084750237728E-9;6669,167141826022;121,85442994757344;4;10996,80524224107;1105,9558864778583;52
65;65;0,006070760288401393;0,44323771857400657;0,016102398862150025;0,028059396849337805;0,008002430664986463;0,2546218716965237;0,0024766153506355242;0,0023251775455780774;0,0041254094958738325;0,14036120020462106;0,03440242728319604;0,009682662806310745;0,00002644180754349683;13268,668452636359;116,62058167571159;4;9737,089770471257;1354,7511737469617;96
66;66;0,009747564438508896;0,0001402932625302612;0,003450966533893026;0,02196114019013192;0,01095146953993447;0,8683538697754432;0,0073224708525021324;0,00007482718028673067;6,907281320259222E-8;0,027375187956266537;0,0058984466716842906;0,008931116833571336;9,090459710946501E-9;22418,061369247698;118,13753071266729;4;11825,639886216937;2210,123082118941;157
67;67;0,022175473122477266;0,028305691294226328;0,02258238877048366;0,20844115512090436;0,006557131208106357;0,4784513921345249;0,00002702858130250571;0,000011010454632195354;0,019667336739682875;0,0001715022355124769;0,0051706416581995766;0,06870169105802243;7,192949209618185E-6;4383,461015604555;98,36085522235197;4;6977,317872990142;902,5577367453344;41
68;68;4,6902151701500276E-8;5,2710146971640553E-8;0,003133021945776552;0,4224619680010844;0,03375331834018396;0,0076018727410266124;0,01874269218114633;0,00011932086616311582;0,0002231870452581197;0,04372173458774625;1,3466958969825274E-7;0,3934808944994227;0,004396430206834842;9434,922062331092;111,54990349854098;5;11026,192306811177;1877,1448174284214;71
69;69;0,008241339036304647;2,4826606262119544E-9;0,0098512257510951;0,6468521781803469;0,0035430961586161835;0,0016801180359093248;5,730560025424437E-9;0,004023873811179532;0,011149956971073837;0,00972125586757694;0,0008420284912799326;0,0060013489801366785;2,5059406102165705E-9;1794,0144114935124;63,51917665297509;3;3565,4168547673603;524,830559587127;27
70;70;0,002215646947573042;2,0898241906074806E-7;1,933456609376189E-6;0,7981835992774341;0,018629949063034945;1,3765756702444928E-7;7,881579900113486E-8;0,0064954315930808755;6,034959235568626E-7;0,015842781800801342;1,2379851319964264E-7;1,481030924615964E-6;0,00732691391312157;1205,8181602141872;66,08168725398222;2;16943,743211243946;115,4031204164821;16
71;71;6,002091635823774E-8;6,49031186514587E-8;0,01704029086140312;0,8899696801469786;0,010740999624071355;0,008782599657802242;3,002373957232405E-8;0,004923350423457791;0,007595278751634048;0,020918317212979185;0,004849483505578872;0,005990207373628047;5,353912404103092E-8;6431,541009757303;137,87781241155437;3;17189,12773335365;1001,7954117105405;47
72;72;0,000017215539290331972;0,0014011827977074242;0,011719880888895124;0,013248710660190104;0,29594667530438395;0,000023666629280919274;0,003648525241851012;0,00004654713718706568;0,00043465049456727073;0,018570434639350732;0,00002725270103892491;9,62813714970894E-6;0,0038862700024163226;1770,1811514357782;71,68471918799449;3;15138,206950152726;537,0186484523359;25
73;73;0,000015451454660804216;0,0001099449237802206;0,00006243054552026612;0,0007652202738771567;0,20373894241981141;3,899521926618794E-6;0,000051707598546349574;1,1725728680869732E-6;0,00002870370722120509;0,007649481057423184;2,793889288580839E-7;0,00005127444724208981;0,000014119796859577513;1377,8554117544982;46,53837451974566;2;9679,726960705664;248,1752634424046;24
74;74;2,912650782249185E-6;0,00463828179695227;0,04557326175089347;0,0883042942682616;0,3687269641460317;0,008135494811353745;0,000010380834517888385;5,267268276788035E-6;0,000031923232678145034;0,01841698096082189;0,000023360586946620355;0,007944358612507226;0,000034154658358960886;1898,7615654108486;57,20383568399563;4;4282,11138101687;563,36669839422;30
75;75;0,00012463878384014895;0,00029868174437862636;0,0012804262613489114;0,0007103438532330885;0,02793266770536431;0,00004969851740243002;0,04052845375274853;0,002015991984169072;0,0009752603512838806;0,043142274159886716;0,3768107083013201;0,0012222191800462209;0,4941263842371416;6629,450947400952;161,58820775215804;4;3832,378634850618;580,8966952289696;43
76;76;4,707907429703287E-10;1,3009138587401732E-9;0,011542713714210727;0,004607660031215353;0,011109092364477813;0,00022728881494531386;0,004213405724505479;0,010525663411712207;0,005029881491499105;0,016092581303215534;0,0005232188993067726;0,000010913020033846327;0,8935855565322097;9408,049349191353;114,46323607136674;3;3832,562461896275;654,640822265604;71
77;77;0,009723220056346212;0,01926861907050104;0,026464459798179112;0,0355263476028725;0,01607679485411135;8,203287059251109E-7;1,0694969596344878E-6;3,312483398028768E-6;0,028940801627843123;0,023390303369148064;0,0021287834789356667;0,01603377873408289;0,798137951442748;32987,4425636514;133,7806616031935;4;49988,35650034854;9463,410777713307;227
78;78;0,0505037859375611;2,8898755942206896E-6;0,3442461471157487;0,02320769755632189;0,00024192985780074373;1,0295271489566588E-6;5,359607619704769E-6;0,023045240790656212;0,007513792593771754;0,07713748294428216;0,01588420117964883;0,009769139996697101;0,42993667013115044;22058,745718383245;134,01863869342836;5;8772,915288436508;1786,824220436873;153
79;79;0,0001816841454234751;0,00004471539412035326;0,0014812777101218875;0,008066136468478908;0,0448751484081632;2,721844534924718E-6;0,0001360601227784412;0,030550927062790265;0,3254295631784153;0,22220554339705914;0,0000633807228669593;0,00035350887592878853;0,28411309676121177;12137,655188665783;134,24506673594524;5;6676,031981506555;1573,3038397824432;82
80;80;0,000035944873912725226;5,644463614239119E-7;9,41812088925503E-6;0,013226852823464863;7,056127852827131E-7;1,9521062339640428E-10;1,9147879671586023E-7;2,0950519324832253E-6;0,41170819320226365;0,4960625845561703;2,767227567534997E-8;0,009383884389627964;4,064600672045783E-7;4033,637742304133;106,71720566430845;3;7402,971746351666;728,3903646101603;36
81;81;0,00864735634414276;0,003025081030856151;0,0031853485124369884;0,03885945701351614;0,01730499846251712;0,000027115099248208292;0,01207448831573926;0,008895047079887206;0,3906034847911941;0,4548966869587979;0,0014316174950562833;0,014814174962576717;3,788918828984372E-7;24180,143110227335;130,34444715175158;6;11922,546607261771;2882,183893917319;179
